"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","loginTest","All Test Suite","Wed Feb 18 15:28:03 UTC 2026","passed","Wed Feb 18 15:28:03 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","8265","nonGUITest","All Test Suite","Wed Feb 18 15:33:03 UTC 2026","passed","Wed Feb 18 15:33:11 UTC 2026","auto01.uitests1.LoginTest1","Ui Data-Driven Test","auto01.uitests1.LoginTest1","nonGUITest"
"","0","loginTest","All Test Suite","Wed Feb 18 20:09:11 UTC 2026","passed","Wed Feb 18 20:09:11 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","11230","loginSmokeTest","All Test Suite","Wed Feb 18 20:09:10 UTC 2026","passed","Wed Feb 18 20:09:21 UTC 2026","auto01.uitests2.LoginTest2","Non Lazy Page Initialization Tests","auto01.uitests2.LoginTest2","loginSmokeTest"
"","0","testRegister","All Test Suite","Wed Feb 18 15:28:04 UTC 2026","passed","Wed Feb 18 15:28:04 UTC 2026","auto01.nonguitests.TestDataFaker","Non-GUI Data Tests","auto01.nonguitests.TestDataFaker","testRegister"
"","1","testMethod","All Test Suite","Wed Feb 18 20:09:11 UTC 2026","passed","Wed Feb 18 20:09:11 UTC 2026","auto01.nonguitests.TestDDT01","Non-GUI Data Tests","auto01.nonguitests.TestDDT01","testMethod"
"","1","testRegister","All Test Suite","Wed Feb 18 15:28:04 UTC 2026","passed","Wed Feb 18 15:28:04 UTC 2026","auto01.nonguitests.TestDataFaker","Non-GUI Data Tests","auto01.nonguitests.TestDataFaker","testRegister"
"","4","loginTest","All Test Suite","Wed Feb 18 15:32:54 UTC 2026","passed","Wed Feb 18 15:32:54 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","Wed Feb 18 15:28:03 UTC 2026","passed","Wed Feb 18 15:28:03 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","10324","EmployeePageTest","All Test Suite","Wed Feb 18 20:09:19 UTC 2026","passed","Wed Feb 18 20:09:29 UTC 2026","auto01.uitests1.LoginTest1","Ui Data-Driven Test","auto01.uitests1.LoginTest1","EmployeePageTest"
"","1","testMethod","All Test Suite","Wed Feb 18 20:09:11 UTC 2026","passed","Wed Feb 18 20:09:11 UTC 2026","auto01.nonguitests.TestDDT01","Non-GUI Data Tests","auto01.nonguitests.TestDDT01","testMethod"
"","1","loginTest","All Test Suite","Wed Feb 18 20:09:11 UTC 2026","passed","Wed Feb 18 20:09:11 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","Wed Feb 18 15:28:03 UTC 2026","passed","Wed Feb 18 15:28:03 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","5","loginTest","All Test Suite","Wed Feb 18 15:20:37 UTC 2026","passed","Wed Feb 18 15:20:37 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","0","loginTest","All Test Suite","Wed Feb 18 20:09:11 UTC 2026","passed","Wed Feb 18 20:09:11 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","0","testRegister","All Test Suite","Wed Feb 18 20:09:11 UTC 2026","passed","Wed Feb 18 20:09:11 UTC 2026","auto01.nonguitests.TestDataFaker","Non-GUI Data Tests","auto01.nonguitests.TestDataFaker","testRegister"
"","10214","EmployeePageTest","All Test Suite","Wed Feb 18 20:09:21 UTC 2026","passed","Wed Feb 18 20:09:31 UTC 2026","auto01.uitests2.LoginTest2","Non Lazy Page Initialization Tests","auto01.uitests2.LoginTest2","EmployeePageTest"
"","1","loginTest","All Test Suite","Wed Feb 18 15:20:37 UTC 2026","passed","Wed Feb 18 15:20:37 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","Wed Feb 18 15:32:54 UTC 2026","passed","Wed Feb 18 15:32:54 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","0","testRegister","All Test Suite","Wed Feb 18 15:20:37 UTC 2026","passed","Wed Feb 18 15:20:37 UTC 2026","auto01.nonguitests.TestDataFaker","Non-GUI Data Tests","auto01.nonguitests.TestDataFaker","testRegister"
"","1","loginTest","All Test Suite","Wed Feb 18 20:09:11 UTC 2026","passed","Wed Feb 18 20:09:11 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","1","testRegister","All Test Suite","Wed Feb 18 15:32:54 UTC 2026","passed","Wed Feb 18 15:32:54 UTC 2026","auto01.nonguitests.TestDataFaker","Non-GUI Data Tests","auto01.nonguitests.TestDataFaker","testRegister"
"","0","loginTest","All Test Suite","Wed Feb 18 15:28:03 UTC 2026","passed","Wed Feb 18 15:28:03 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","6963","AdminPageTest","All Test Suite","Wed Feb 18 20:09:31 UTC 2026","passed","Wed Feb 18 20:09:38 UTC 2026","auto01.uitests2.LoginTest2","Non Lazy Page Initialization Tests","auto01.uitests2.LoginTest2","AdminPageTest"
"","0","loginTest","All Test Suite","Wed Feb 18 15:20:37 UTC 2026","passed","Wed Feb 18 15:20:37 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","1","testRegister","All Test Suite","Wed Feb 18 15:20:37 UTC 2026","passed","Wed Feb 18 15:20:37 UTC 2026","auto01.nonguitests.TestDataFaker","Non-GUI Data Tests","auto01.nonguitests.TestDataFaker","testRegister"
"","1","loginTest","All Test Suite","Wed Feb 18 15:32:54 UTC 2026","passed","Wed Feb 18 15:32:54 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
