"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8220","EmployeePageTest","All Test Suite","Fri Feb 20 19:30:57 UTC 2026","passed","Fri Feb 20 19:31:05 UTC 2026","auto01.uitests1.LoginTest1","Ui Data-Driven Test","auto01.uitests1.LoginTest1","EmployeePageTest"
"","1508","testRegister","All Test Suite","Fri Feb 20 19:30:53 UTC 2026","broken","Fri Feb 20 19:30:55 UTC 2026","auto01.uitests2.AddMultiEmployeeTest2","E2E Employeee Tests","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","4154","loginSmokeTest","All Test Suite","Fri Feb 20 19:30:53 UTC 2026","passed","Fri Feb 20 19:30:57 UTC 2026","auto01.uitests1.LoginTest1","Ui Data-Driven Test","auto01.uitests1.LoginTest1","loginSmokeTest"
"","5","loginTest","All Test Suite","Fri Feb 20 19:30:56 UTC 2026","passed","Fri Feb 20 19:30:56 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","0","testMethod","All Test Suite","Fri Feb 20 19:30:56 UTC 2026","passed","Fri Feb 20 19:30:56 UTC 2026","auto01.nonguitests.TestDDT01","Non-GUI Data Tests","auto01.nonguitests.TestDDT01","testMethod"
"","0","OrangeTableTest2","All Test Suite","Fri Feb 20 19:31:39 UTC 2026","skipped","Fri Feb 20 19:31:39 UTC 2026","auto01.uitests2.TableTest","Non Lazy Page Initialization Tests","auto01.uitests2.TableTest","OrangeTableTest2"
"","0","testMethod","All Test Suite","Fri Feb 20 19:30:56 UTC 2026","passed","Fri Feb 20 19:30:56 UTC 2026","auto01.nonguitests.TestDDT01","Non-GUI Data Tests","auto01.nonguitests.TestDDT01","testMethod"
"","388","testRegister","All Test Suite","Fri Feb 20 19:30:53 UTC 2026","broken","Fri Feb 20 19:30:53 UTC 2026","auto01.uitests2.AddMultiEmployeeTest2","E2E Employeee Tests","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","82","testCRUDJson","All Test Suite","Fri Feb 20 19:30:56 UTC 2026","passed","Fri Feb 20 19:30:56 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","testCRUDJson"
"","1","newEmployeeTest2","All Test Suite","Fri Feb 20 19:31:39 UTC 2026","skipped","Fri Feb 20 19:31:39 UTC 2026","auto01.uitests2.EmployeeTest","Non Lazy Page Initialization Tests","auto01.uitests2.EmployeeTest","newEmployeeTest2"
"","1","setUp","All Test Suite","Fri Feb 20 19:31:39 UTC 2026","broken","Fri Feb 20 19:31:39 UTC 2026","auto01.uitests2.EmployeeTest","Non Lazy Page Initialization Tests","auto01.uitests2.EmployeeTest","setUp"
"","0","OrangeTableTest1","All Test Suite","Fri Feb 20 19:31:39 UTC 2026","skipped","Fri Feb 20 19:31:39 UTC 2026","auto01.uitests2.TableTest","Non Lazy Page Initialization Tests","auto01.uitests2.TableTest","OrangeTableTest1"
"","1","loginTest","All Test Suite","Fri Feb 20 19:30:56 UTC 2026","passed","Fri Feb 20 19:30:56 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","5","loginTest","All Test Suite","Fri Feb 20 19:30:56 UTC 2026","passed","Fri Feb 20 19:30:56 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","2","testRegister","All Test Suite","Fri Feb 20 19:30:56 UTC 2026","passed","Fri Feb 20 19:30:56 UTC 2026","auto01.nonguitests.TestDataFaker","Non-GUI Data Tests","auto01.nonguitests.TestDataFaker","testRegister"
"","1","loginTest","All Test Suite","Fri Feb 20 19:30:56 UTC 2026","passed","Fri Feb 20 19:30:56 UTC 2026","auto01.nonguitests.CRUDJsonTest","Non-GUI Data Tests","auto01.nonguitests.CRUDJsonTest","loginTest"
"","0","testMethod","All Test Suite","Fri Feb 20 19:30:56 UTC 2026","passed","Fri Feb 20 19:30:56 UTC 2026","auto01.nonguitests.TestDDT01","Non-GUI Data Tests","auto01.nonguitests.TestDDT01","testMethod"
"","0","EmployeePageTest","All Test Suite","Fri Feb 20 19:31:39 UTC 2026","skipped","Fri Feb 20 19:31:39 UTC 2026","auto01.uitests2.LoginTest2","Non Lazy Page Initialization Tests","auto01.uitests2.LoginTest2","EmployeePageTest"
"","0","loginSmokeTest","All Test Suite","Fri Feb 20 19:31:39 UTC 2026","skipped","Fri Feb 20 19:31:39 UTC 2026","auto01.uitests2.LoginTest2","Non Lazy Page Initialization Tests","auto01.uitests2.LoginTest2","loginSmokeTest"
"","0","AdminPageTest","All Test Suite","Fri Feb 20 19:31:39 UTC 2026","skipped","Fri Feb 20 19:31:39 UTC 2026","auto01.uitests2.LoginTest2","Non Lazy Page Initialization Tests","auto01.uitests2.LoginTest2","AdminPageTest"
"","0","testRegister","All Test Suite","Fri Feb 20 19:30:56 UTC 2026","passed","Fri Feb 20 19:30:56 UTC 2026","auto01.nonguitests.TestDataFaker","Non-GUI Data Tests","auto01.nonguitests.TestDataFaker","testRegister"
